FIELD	QMC	ST	DATE	TIME	var_field
52664313	7	80	30.05.2025	09:10:00	52664,313
52663403	7	80	30.05.2025	09:10:06	52663,403
52662576	7	80	30.05.2025	09:10:12	52662,576
52667394	8	80	30.05.2025	09:10:18	52667,394
52666617	7	80	30.05.2025	09:10:24	52666,617
52668743	7	80	30.05.2025	09:10:30	52668,743
52672515	7	80	30.05.2025	09:10:36	52672,515
52669824	7	80	30.05.2025	09:10:42	52669,824
52664078	8	80	30.05.2025	09:10:48	52664,078
52672644	7	80	30.05.2025	09:10:54	52672,644
52668588	8	80	30.05.2025	09:11:00	52668,588
52663888	7	80	30.05.2025	09:11:06	52663,888
52674154	7	80	30.05.2025	09:11:12	52674,154
52675768	7	80	30.05.2025	09:11:18	52675,768
52669777	8	80	30.05.2025	09:11:24	52669,777
52670591	8	80	30.05.2025	09:11:30	52670,591
52678549	7	80	30.05.2025	09:11:36	52678,549
52673233	7	80	30.05.2025	09:11:42	52673,233
52671596	7	80	30.05.2025	09:11:48	52671,596
52668477	7	80	30.05.2025	09:11:54	52668,477
52670006	7	80	30.05.2025	09:12:00	52670,006
52667831	7	80	30.05.2025	09:12:06	52667,831
52673984	7	80	30.05.2025	09:12:12	52673,984
52680745	8	80	30.05.2025	09:12:18	52680,745
52680688	8	80	30.05.2025	09:12:24	52680,688
52680134	7	80	30.05.2025	09:12:30	52680,134
52680915	8	80	30.05.2025	09:12:36	52680,915
52684176	8	80	30.05.2025	09:12:42	52684,176
52674161	7	80	30.05.2025	09:12:48	52674,161
52671200	8	80	30.05.2025	09:12:54	52671,2
52681106	7	80	30.05.2025	09:13:00	52681,106
52668323	7	80	30.05.2025	09:13:06	52668,323
52667809	7	80	30.05.2025	09:13:12	52667,809
52667204	7	80	30.05.2025	09:13:18	52667,204
52676889	7	80	30.05.2025	09:13:24	52676,889
52669264	7	80	30.05.2025	09:13:30	52669,264
52681534	7	80	30.05.2025	09:13:36	52681,534
52685359	7	80	30.05.2025	09:13:42	52685,359
52668653	7	80	30.05.2025	09:13:48	52668,653
52664856	7	80	30.05.2025	09:13:54	52664,856
52660017	7	80	30.05.2025	09:14:00	52660,017
52658662	7	80	30.05.2025	09:14:06	52658,662
52658121	7	80	30.05.2025	09:14:12	52658,121
52656741	7	80	30.05.2025	09:14:18	52656,741
52656565	7	80	30.05.2025	09:14:24	52656,565
52653841	7	80	30.05.2025	09:14:30	52653,841
52657044	8	80	30.05.2025	09:14:36	52657,044
52656961	7	80	30.05.2025	09:14:42	52656,961
52673411	7	80	30.05.2025	09:14:48	52673,411
52675859	7	80	30.05.2025	09:14:54	52675,859
