Line	pr	pk	X_end	Y_end	TIME	DATE	T_bottoom	T_top
58	58	6,136	364467.4017	6178539.45	11:52:21	02.06.2025	52844367	52843264
58	58	6,227	364467.4476	6178539.372	11:52:21	02.06.2025	52844598	52842728
58	58	6,318	364467.4935	6178539.293	11:52:21	02.06.2025	52842795	52843074
58	58	6,409	364467.5394	6178539.214	11:52:22	02.06.2025	52841679	52841663
58	58	6,5	364467.5853	6178539.136	11:52:22	02.06.2025	52843066	52843066
58	58	6,591	364467.6312	6178539.057	11:52:22	02.06.2025	52845260	52843391
58	58	6,682	364467.6771	6178538.979	11:52:22	02.06.2025	52846223	52843053
58	58	6,773	364467.723	6178538.9	11:52:22	02.06.2025	52845007	52843309
58	58	6,864	364467.7689	6178538.822	11:52:22	02.06.2025	52842405	52843390
58	58	6,955	364467.8143	6178538.744	11:52:22	02.06.2025	52839859	52842406
58	58	7,045	364466.8485	6178540.39	11:52:22	02.06.2025	52838548	52842718
58	58	7,136	364466.8944	6178540.311	11:52:22	02.06.2025	52835985	52842789
58	58	7,227	364466.9403	6178540.233	11:52:22	02.06.2025	52831688	52842836
58	58	7,318	364466.9862	6178540.154	11:52:23	02.06.2025	52828598	52842779
58	58	7,409	364467.0321	6178540.076	11:52:23	02.06.2025	52826998	52842937
58	58	7,5	364467.078	6178539.997	11:52:23	02.06.2025	52825465	52843166
58	58	7,591	364467.1239	6178539.918	11:52:23	02.06.2025	52824545	52843488
58	58	7,682	364467.1698	6178539.84	11:52:23	02.06.2025	52831033	52843685
58	58	7,773	364467.2157	6178539.761	11:52:23	02.06.2025	52842178	52844028
58	58	7,864	364467.2616	6178539.683	11:52:23	02.06.2025	52854469	52844125
58	58	7,955	364467.307	6178539.605	11:52:23	02.06.2025	52865541	52843846
58	58	8,045	364466.3411	6178541.251	11:52:23	02.06.2025	52875511	52844101
58	58	8,136	364466.387	6178541.172	11:52:23	02.06.2025	52874273	52844286
58	58	8,227	364466.4329	6178541.094	11:52:24	02.06.2025	52858339	52844340
58	58	8,318	364466.4788	6178541.015	11:52:24	02.06.2025	52847058	52844709
58	58	8,409	364466.5247	6178540.937	11:52:24	02.06.2025	52843774	52844916
58	58	8,5	364466.5706	6178540.858	11:52:24	02.06.2025	52843781	52843781
58	58	8,591	364466.6165	6178540.78	11:52:24	02.06.2025	52844187	52844308
58	58	8,682	364466.6624	6178540.701	11:52:24	02.06.2025	52845136	52845055
58	58	8,773	364466.7083	6178540.622	11:52:24	02.06.2025	52848853	52845938
58	58	8,864	364466.7542	6178540.544	11:52:24	02.06.2025	52852695	52845785
58	58	8,955	364466.7996	6178540.466	11:52:24	02.06.2025	52852320	52845698
58	58	9,045	364465.8338	6178542.112	11:52:24	02.06.2025	52850593	52845908
58	58	9,136	364465.8797	6178542.034	11:52:25	02.06.2025	52849009	52845570
58	58	9,227	364465.9256	6178541.955	11:52:25	02.06.2025	52848029	52845977
58	58	9,318	364465.9715	6178541.876	11:52:25	02.06.2025	52847232	52847184
58	58	9,409	364466.0174	6178541.798	11:52:25	02.06.2025	52847469	52847134
58	58	9,5	364466.0633	6178541.719	11:52:25	02.06.2025	52848972	52846289
58	58	9,591	364466.1092	6178541.641	11:52:25	02.06.2025	52849945	52845821
58	58	9,682	364466.1551	6178541.562	11:52:25	02.06.2025	52849671	52846132
58	58	9,773	364466.201	6178541.484	11:52:25	02.06.2025	52848518	52845875
58	58	9,864	364466.2469	6178541.405	11:52:25	02.06.2025	52847220	52846548
58	58	9,955	364466.2943	6178541.324	11:52:25	02.06.2025	52845882	52846049
58	58	10,049	364465.3264	6178542.973	11:52:26	02.06.2025	52844774	52845811
58	58	10,147	364465.3759	6178542.889	11:52:26	02.06.2025	52843556	52843954
58	58	10,245	364465.4253	6178542.804	11:52:26	02.06.2025	52842598	52845072
58	58	10,343	364465.4747	6178542.719	11:52:26	02.06.2025	52841559	52844785
58	58	10,441	364465.5241	6178542.635	11:52:26	02.06.2025	52840412	52845009
58	58	10,539	364465.5736	6178542.55	11:52:26	02.06.2025	52840180	52845835
58	58	10,637	364465.623	6178542.466	11:52:26	02.06.2025	52840275	52846489
58	58	10,735	364465.6724	6178542.381	11:52:26	02.06.2025	52841682	52846470
58	58	10,833	364465.7219	6178542.296	11:52:26	02.06.2025	52843231	52846771
58	58	10,931	364465.7713	6178542.212	11:52:26	02.06.2025	52843976	52846547
58	58	11,029	364464.8191	6178543.834	11:52:27	02.06.2025	52844346	52846637
58	58	11,127	364464.8685	6178543.75	11:52:27	02.06.2025	52844073	52847109
58	58	11,225	364464.9184	6178543.664	11:52:27	02.06.2025	52843393	52847436
58	58	11,324	364464.9679	6178543.58	11:52:27	02.06.2025	52842184	52847496
58	58	11,422	364465.0173	6178543.495	11:52:27	02.06.2025	52841859	52847809
58	58	11,52	364465.0667	6178543.411	11:52:27	02.06.2025	52843726	52847923
58	58	11,618	364465.1162	6178543.326	11:52:27	02.06.2025	52847233	52847097
58	58	11,716	364465.1656	6178543.241	11:52:27	02.06.2025	52851505	52848805
58	58	11,814	364465.215	6178543.157	11:52:27	02.06.2025	52855385	52848859
58	58	11,912	364465.2644	6178543.072	11:52:27	02.06.2025	52857137	52849304
58	58	12,01	364464.3117	6178544.696	11:52:28	02.06.2025	52856154	52849452
58	58	12,108	364464.3612	6178544.611	11:52:28	02.06.2025	52853303	52849869
58	58	12,206	364464.4106	6178544.526	11:52:28	02.06.2025	52850187	52850091
58	58	12,304	364464.46	6178544.442	11:52:28	02.06.2025	52850310	52851077
58	58	12,402	364464.5094	6178544.357	11:52:28	02.06.2025	52852376	52851775
58	58	12,5	364464.5589	6178544.273	11:52:28	02.06.2025	52853271	52850939
58	58	12,598	364464.6083	6178544.188	11:52:28	02.06.2025	52852953	52851835
58	58	12,696	364464.6577	6178544.103	11:52:28	02.06.2025	52850954	52851553
58	58	12,794	364464.7072	6178544.019	11:52:28	02.06.2025	52848263	52851107
58	58	12,892	364464.7566	6178543.934	11:52:28	02.06.2025	52847160	52851309
58	58	12,99	364464.806	6178543.849	11:52:29	02.06.2025	52849241	52851436
58	58	13,088	364463.8044	6178545.557	11:52:29	02.06.2025	52851784	52851688
58	58	13,186	364463.8538	6178545.472	11:52:29	02.06.2025	52853821	52852944
58	58	13,284	364463.9032	6178545.388	11:52:29	02.06.2025	52855753	52852198
