FIELD	QMC	ST	DATE	TIME	var_field
52630092	7	80	02.06.2025	08:58:48	52630,092
52629907	7	80	02.06.2025	08:58:51	52629,907
52628673	7	80	02.06.2025	08:58:54	52628,673
52627957	7	80	02.06.2025	08:58:57	52627,957
52628154	7	80	02.06.2025	08:59:00	52628,154
52628153	7	80	02.06.2025	08:59:03	52628,153
52629204	6	80	02.06.2025	08:59:06	52629,204
52628711	6	80	02.06.2025	08:59:09	52628,711
52629610	7	80	02.06.2025	08:59:12	52629,61
52630002	7	80	02.06.2025	08:59:15	52630,002
52629678	7	80	02.06.2025	08:59:18	52629,678
52629421	8	80	02.06.2025	08:59:21	52629,421
52629102	7	80	02.06.2025	08:59:24	52629,102
52628910	7	80	02.06.2025	08:59:27	52628,91
52630163	6	80	02.06.2025	08:59:30	52630,163
52629835	7	80	02.06.2025	08:59:33	52629,835
52631016	7	80	02.06.2025	08:59:36	52631,016
52631205	7	80	02.06.2025	08:59:39	52631,205
52630245	7	80	02.06.2025	08:59:42	52630,245
52629546	7	80	02.06.2025	08:59:45	52629,546
52629326	7	80	02.06.2025	08:59:48	52629,326
52630947	7	80	02.06.2025	08:59:51	52630,947
52633607	7	80	02.06.2025	08:59:54	52633,607
52633562	7	80	02.06.2025	08:59:57	52633,562
52634543	7	80	02.06.2025	09:00:00	52634,543
52633992	6	80	02.06.2025	09:00:03	52633,992
52633700	7	80	02.06.2025	09:00:06	52633,7
52635967	7	80	02.06.2025	09:00:09	52635,967
52639131	7	80	02.06.2025	09:00:12	52639,131
52637237	7	80	02.06.2025	09:00:15	52637,237
52636653	7	80	02.06.2025	09:00:18	52636,653
52636171	7	80	02.06.2025	09:00:21	52636,171
52636245	7	80	02.06.2025	09:00:24	52636,245
52636337	7	80	02.06.2025	09:00:27	52636,337
52636204	7	80	02.06.2025	09:00:30	52636,204
52636899	7	80	02.06.2025	09:00:33	52636,899
52638150	7	80	02.06.2025	09:00:36	52638,15
52638580	7	80	02.06.2025	09:00:39	52638,58
52638917	7	80	02.06.2025	09:00:42	52638,917
52639183	7	80	02.06.2025	09:00:45	52639,183
52637119	7	80	02.06.2025	09:00:48	52637,119
52635339	7	80	02.06.2025	09:00:51	52635,339
52634973	7	80	02.06.2025	09:00:54	52634,973
52632809	7	80	02.06.2025	09:00:57	52632,809
52630100	7	80	02.06.2025	09:01:00	52630,1
52635072	7	80	02.06.2025	09:01:03	52635,072
52635631	7	80	02.06.2025	09:01:06	52635,631
52635868	7	80	02.06.2025	09:01:09	52635,868
52636622	7	80	02.06.2025	09:01:12	52636,622
52635249	7	80	02.06.2025	09:01:15	52635,249
52636711	7	80	02.06.2025	09:01:18	52636,711
52637389	7	80	02.06.2025	09:01:21	52637,389
52640304	7	80	02.06.2025	09:01:24	52640,304
52639584	7	80	02.06.2025	09:01:27	52639,584
52638908	7	80	02.06.2025	09:01:30	52638,908
52639056	7	80	02.06.2025	09:01:33	52639,056
52639380	7	80	02.06.2025	09:01:36	52639,38
52639556	7	80	02.06.2025	09:01:39	52639,556
52639806	7	80	02.06.2025	09:01:42	52639,806
52639721	6	80	02.06.2025	09:01:45	52639,721
52639814	7	80	02.06.2025	09:01:48	52639,814
52640333	7	80	02.06.2025	09:01:51	52640,333
52640276	7	80	02.06.2025	09:01:54	52640,276
52639304	7	80	02.06.2025	09:01:57	52639,304
52639649	7	80	02.06.2025	09:02:00	52639,649
52641074	7	80	02.06.2025	09:02:03	52641,074
52640867	7	80	02.06.2025	09:02:06	52640,867
52640350	7	80	02.06.2025	09:02:09	52640,35
52640596	7	80	02.06.2025	09:02:12	52640,596
52640201	7	80	02.06.2025	09:02:15	52640,201
52639817	7	80	02.06.2025	09:02:18	52639,817
52639218	7	80	02.06.2025	09:02:21	52639,218
52635871	7	80	02.06.2025	09:02:24	52635,871
52634071	7	80	02.06.2025	09:02:27	52634,071
52635540	7	80	02.06.2025	09:02:30	52635,54
52636656	7	80	02.06.2025	09:02:33	52636,656
52636709	7	80	02.06.2025	09:02:36	52636,709
52636469	7	80	02.06.2025	09:02:39	52636,469
52638159	7	80	02.06.2025	09:02:42	52638,159
52638233	7	80	02.06.2025	09:02:45	52638,233
52637544	7	80	02.06.2025	09:02:48	52637,544
52639954	7	80	02.06.2025	09:02:51	52639,954
52639916	7	80	02.06.2025	09:02:54	52639,916
52635350	7	80	02.06.2025	09:02:57	52635,35
52634970	7	80	02.06.2025	09:03:00	52634,97
52632984	7	80	02.06.2025	09:03:03	52632,984
52632261	7	80	02.06.2025	09:03:06	52632,261
52633476	7	80	02.06.2025	09:03:09	52633,476
52632982	7	80	02.06.2025	09:03:12	52632,982
52632137	7	80	02.06.2025	09:03:15	52632,137
52633702	7	80	02.06.2025	09:03:18	52633,702
52634564	7	80	02.06.2025	09:03:21	52634,564
52634676	7	80	02.06.2025	09:03:24	52634,676
52636646	7	80	02.06.2025	09:03:27	52636,646
52638121	7	80	02.06.2025	09:03:30	52638,121
